Name,Age,M/F,City,State,Country,Official Time,Overall,Gender,Years Ran
"Castillo, Franklin A. Sr.",32,M,"Doral, Florida",,PAN,2:45:37,357,330,
"Sarkovics, Rodney",46,M,Fishers,IN,USA,2:45:38,358,331,
"Stucky, Raquel",41,F,Wichita,KS,USA,2:45:39,359,28,
"Morlan, Bruno",27,M,Brea,CA,USA,2:45:40,360,332,2015
"Ginnan, Ken",39,M,Vancouver,BC,CAN,2:45:43,361,333,
"Christie, Robert",44,M,Geneseo,NY,USA,2:45:43,362,334,2015:2016
"Landeo Carranza, Oliver Sr.",32,M,Lima,,PER,2:45:44,363,335,
"Wyler, Eric",28,M,Watertown,MA,USA,2:45:44,364,336,2015
"Ferrari, Diego M. Sr.",30,M,Sao Paulo,,BRA,2:45:44,365,337,
"Gardner, Preston",39,M,Centerville,UT,USA,2:45:45,366,338,2015:2016
"Doucet, Shelley A",33,F,Quispamsis,NB,CAN,2:45:46,367,29,2016
"Pearson, Neil F.",44,M,Leichhardt,,AUS,2:45:47,368,339,2016
"Ryan, Jamaal",40,M,San Diego,CA,USA,2:45:49,369,340,
"Mullen, Jay",32,M,Anchorage,AK,USA,2:45:52,370,341,
"Dorval, Guy",56,M,Quebec,QC,CAN,2:45:53,371,342,2016
"Moreau, Louis",24,M,Boulogne-Billancourt,,FRA,2:45:54,372,343,
"Jahn, Corbyn N.",26,M,Anchorage,AK,USA,2:45:55,373,344,
"Perkins, Jerome",26,M,Centennial,CO,USA,2:45:58,374,345,
"Uchiki, Tomoaki",43,M,Saitama,,JPN,2:45:59,375,346,2016
"Susmann, Austin",31,M,Wellesley,MA,USA,2:46:00,376,347,
"Kress, Stephen",31,M,New York,NY,USA,2:46:01,377,348,
"Brewer, Bo",28,M,Dunwoody,GA,USA,2:46:05,378,349,
"Schmitt, Craig P",38,M,Red Deer,AB,CAN,2:46:09,379,350,
"Strandby, Brian B.",40,M,Kolding,,DEN,2:46:11,380,351,
"Mcquade, Colin",41,M,Riverview,NB,CAN,2:46:13,381,352,
"Phillips, Caitlin",34,F,Brooklyn,NY,USA,2:46:14,382,30,
"Reichard, Henry E",20,M,Woodsboro,MD,USA,2:46:14,383,353,
"Hesselbjerg, Anders R.",33,M,2200 Copenhagen N.,,DEN,2:46:15,384,354,
"Sanabria, Leonardo E.",46,M,Bogota,,COL,2:46:16,385,355,
"Vizcarra, Carlos H",43,M,Los Angeles,CA,USA,2:46:19,386,356,
"Mcevoy, Andrew R",46,M,Melbourne,,AUS,2:46:20,387,357,
"Shimoda, Ryuzo",33,M,Tokyo,,JPN,2:46:20,388,358,
"Syed, Aaqib",21,M,West Point,NY,USA,2:46:21,389,359,
"Burke, Tyler J",32,M,Washington,DC,USA,2:46:21,390,360,
"Ashby, Robert S",48,M,Brunswick,ME,USA,2:46:22,391,361,2015:2016
"Callahan, Patrick M.",44,M,Needham,MA,USA,2:46:22,392,362,2015:2016
"Morrison, Michael S",42,M,Lincoln,NE,USA,2:46:22,393,363,2015:2016
"Jones, Matthew",28,M,London,,GBR,2:46:23,394,364,
"Galaviz, Jose F.",53,M,Monterrey,,MEX,2:46:25,395,365,
"Zappala, Dante",41,M,Philadelphia,PA,USA,2:46:25,396,366,2015:2016
"Vanderwoude, Darryl E.",29,M,Edmonton,AB,CAN,2:46:27,397,367,
"Knight, Steven J.",32,M,Mudgee,,AUS,2:46:28,398,368,
"Cyganik, Jonathan",24,M,Boston,MA,USA,2:46:31,399,369,
"Aono, Hiromasa",35,M,Arlington,MA,USA,2:46:32,400,370,
"Waite, Steven T.",26,M,Fresno,CA,USA,2:46:33,401,371,
"Wiegand, Robert H Jr.",39,M,Chicago,IL,USA,2:46:35,402,372,
"Bazeille, Sebastien",35,M,Cabries,,FRA,2:46:35,403,373,
"Mccauley, Sean",25,M,Canterbury,NH,USA,2:46:39,404,374,
"Orlando, Matthew P",24,M,Boston,MA,USA,2:46:39,405,375,
"Ratliff, Alex J",22,M,Macomb,MI,USA,2:46:40,406,376,
"Smith, Zachery",22,M,Phoenix,AZ,USA,2:46:44,407,377,
"Canan, Mike",36,M,Cincinnati,OH,USA,2:46:47,408,378,
"Whitcraft, Joshua D.",32,M,New York,NY,USA,2:46:48,409,379,
"Manning, Aaron",23,M,Toronto,ON,CAN,2:46:49,410,380,
"Gonzalez, Manuel A",27,M,Cambridge,MA,USA,2:46:50,411,381,2016
"Mckinley, Kyle W",20,M,Stillwater,OK,USA,2:46:50,412,382,
"Anderson, Aaron L",33,M,Germantown,MD,USA,2:46:52,413,383,2015
"Bowie, Nikolas S",29,M,Cambridge,MA,USA,2:46:53,414,384,
"Diamond, Anthony",26,M,Philadelphia,PA,USA,2:46:53,415,385,2015:2016
"Hartje, William",24,M,Neptune Beach,FL,USA,2:46:56,416,386,
"Ollinger, Patrick",29,M,Decatur,GA,USA,2:46:56,417,387,2015:2016
"Thirumurthy, Harsha",40,M,Chapel Hill,NC,USA,2:46:59,418,388,
"Andre, Stephanie",34,F,Bixby,OK,USA,2:47:00,419,31,
"Mcclung, Joshua",33,M,Birmingham,AL,USA,2:47:02,420,389,2016
"Mac-Thiong, Jean-Marc",42,M,Mont-Royal,QC,CAN,2:47:03,421,390,2015
"Aitken, Miles",33,M,Washington,DC,USA,2:47:03,422,391,2015:2016
"Hamel, Derrick J.",33,M,Northwood,NH,USA,2:47:03,423,392,
"Huberty, Bryan",38,M,Miami Beach,FL,USA,2:47:06,424,393,2015:2016
"Coomer, Colin",28,M,Prairie Village,KS,USA,2:47:06,425,394,2016
"Kimura, Jonathan M",36,M,Cupertino,CA,USA,2:47:06,426,395,
"Couture, Nathaniel",36,M,Fredericton,NB,CAN,2:47:07,427,396,2015:2016
"Nesbitt, Drew T",32,M,Lancaster,PA,USA,2:47:08,428,397,
"Groudle, Alan M",33,M,Lewiston,ME,USA,2:47:14,429,398,
"Adams, William C",33,M,Arlington,VA,USA,2:47:15,430,399,
"Bolanos, Antonio Sr.",27,M,San Jose,,CRC,2:47:16,431,400,2016
"Hamilton, Tyler",27,M,Toronto,ON,CAN,2:47:18,432,401,
"Bin Alias, Mohd Syahidan",29,M,Shah Alam,,MAS,2:47:18,433,402,2015
"Brown, Dave R.",27,M,Washington,DC,USA,2:47:18,434,403,
"Fraioli, Mario Jr.",34,M,Kentfield,CA,USA,2:47:21,435,404,2015
"Park, Jim",50,M,Buffalo,NY,USA,2:47:22,436,405,
"Graysmark, Charles C",43,M,Duluth,MN,USA,2:47:22,437,406,
"Appman, Timothy G",23,M,Pittsburgh,PA,USA,2:47:23,438,407,2016
"Parker, Hugh F",26,M,New York,NY,USA,2:47:24,439,408,
"Reed, Erik",28,M,East Liverpool,OH,USA,2:47:26,440,409,2015:2016
"Hotek, Kiefer K",26,M,Minneapolis,MN,USA,2:47:26,441,410,2016
"Collins, Matt",26,M,New York,NY,USA,2:47:27,442,411,
"Viavattine, Joe R.",22,M,Vadnais Heights,MN,USA,2:47:28,443,412,
"Ochoa, Raul E",41,M,San Mateo,CA,USA,2:47:28,444,413,
"Goodman, John M.",37,M,Birmingham,AL,USA,2:47:28,445,414,
"Gibbs, Ben",34,M,University Heights,OH,USA,2:47:30,446,415,2015
"Baghdadi, Hossein",38,M,Portland,OR,USA,2:47:30,447,416,
"Johnson, Charlie",37,M,Tallahassee,FL,USA,2:47:31,448,417,2016
"Gill, Nadine",25,F,Berlin,,GER,2:47:31,449,32,
"Oliveira, Bruno L. Sr.",28,M,São Paulo,,BRA,2:47:32,450,418,
"Carney, Ryne",26,M,Washington,DC,USA,2:47:33,451,419,
"Lesser, Dan",40,M,San Diego,CA,USA,2:47:33,452,420,
"Spellman, John W IV",27,M,Miami,FL,USA,2:47:35,453,421,
"Tenforde, Adam S",36,M,Milton,MA,USA,2:47:36,454,422,2015
"Pires, Corey",21,M,North Easton,MA,USA,2:47:36,455,423,2016
"Bernardi, Alexandra E.",30,F,New York,NY,USA,2:47:37,456,33,
"Cunha, Will",28,M,Pittsburgh,PA,USA,2:47:39,457,424,
"Ilfrey, Campbell",43,M,Louisville,CO,USA,2:47:40,458,425,
"Rego, Christopher",28,M,Colorado Springs,CO,USA,2:47:41,459,426,
"McSween, Matt K.",26,M,Grand Rapids,MI,USA,2:47:41,460,427,
"Coughlin, Benjamin R.",27,M,Holden,MA,USA,2:47:42,461,428,
"Gauthier, Jon",30,M,Salt Lake City,UT,USA,2:47:42,462,429,
"Mathews, Brandon T",32,M,Locust Grove,VA,USA,2:47:43,463,430,
"Waltz, Seth R",36,M,Brighton,MA,USA,2:47:44,464,431,2016
"Koranda, Jeff",31,M,Chicago,IL,USA,2:47:44,465,432,
"Kochanek, Krystian",36,M,Warsaw,,POL,2:47:48,466,433,
"Wallace, Jack",27,M,Richmond,CA,USA,2:47:50,467,434,
"Martinez Solano, Juan Manuel Jr.",28,M,Bogota,,COL,2:47:51,468,435,
"Quinn, Julianne",28,F,Ithaca,NY,USA,2:47:54,469,34,
"Kelley, Daniel",39,M,Lynnfield,MA,USA,2:47:56,470,436,2016
"Autrey, Jonathan",34,M,Memphis,TN,USA,2:47:57,471,437,2015:2016
"Woodring, Seth T",19,M,Fort Collins,CO,USA,2:47:57,472,438,
"Groff, Adam C",40,M,Hanover,NH,USA,2:47:59,473,439,2015:2016
"O'Callaghan, Paul S.",39,M,Tadworth,,GBR,2:47:59,474,440,
"Greenberg, Robert J.",40,M,Victoria,,AUS,2:47:59,475,441,
"Hobbs, Steve",44,M,London,,GBR,2:48:01,476,442,
"Jurkovich, Evan",31,M,Washington,DC,USA,2:48:03,477,443,
"Yanada, Chikara",32,M,Anan Shi,,JPN,2:48:03,478,444,
"Hicks, Stuart",41,M,Eastleigh,,GBR,2:48:06,479,445,
"Ryan, Elizabeth",26,F,Cambridge,MA,USA,2:48:06,480,35,2015
"Sadler, Jeff",28,M,Austin,TX,USA,2:48:13,481,446,
"Camara Ortiz, Cesar Sr.",34,M,Guadalajara Jalisco,,MEX,2:48:15,482,447,
"Critchfield, Byron L.",29,M,Fountain,CO,USA,2:48:17,483,448,
"Halusan, Brian M.",47,M,New York,NY,USA,2:48:18,484,449,
"Acosta, Oscar J. Sr.",29,M,Bogota,,COL,2:48:20,485,450,
"Hampton, Rob",42,M,Allentown,PA,USA,2:48:25,486,451,2016
"Power, Rich M",53,M,Rochester,MI,USA,2:48:25,487,452,2015
"Fernández Jiménez, Luis",32,M,Tres Rios,,CRC,2:48:27,488,453,
"English, Jordan",27,M,Kansas City,MO,USA,2:48:28,489,454,
"Rogers, Taylor W",34,M,London,,GBR,2:48:29,490,455,
"Inniger, Nicholas P",35,M,Rogers,AR,USA,2:48:32,491,456,2016
"Baldwin, Douglas R.",52,M,St. Paul,MN,USA,2:48:32,492,457,2016
"Valicka, Christopher G",33,M,Albuquerque,NM,USA,2:48:33,493,458,2016
"Kloehn, Ian",22,M,Menomonee Falls,WI,USA,2:48:34,494,459,
"Hartstein, Kevin C",27,M,Hanover,NH,USA,2:48:34,495,460,
"King, Travis E.",32,M,Seattle,WA,USA,2:48:35,496,461,
"Scudder, John L",40,M,Apo,AE,USA,2:48:36,497,462,
"Kuhlenschmidt, Bernd",31,M,Geneva,,SUI,2:48:37,498,463,
"Corona, John L.",24,M,Portsmouth,NH,USA,2:48:38,499,464,2016
"Foley, Vivian J.",47,M,Cork,,IRL,2:48:41,500,465,2015
"Moore, Jim",45,M,Austin,TX,USA,2:48:41,501,466,2015:2016
"Davis, Rachel",26,F,Birmingham,AL,USA,2:48:42,502,36,
"Togami, Katsuhiro",39,M,Brookline,MA,USA,2:48:43,503,467,2015:2016
"Kwon, Daniel",30,M,New York,NY,USA,2:48:45,504,468,2016
"Bradley, Scott",33,M,Rochester,NY,USA,2:48:47,505,469,
"Jongh, Robert",45,M,Rijen,,NED,2:48:47,506,470,
"Fisher, Michael D",33,M,Asheville,NC,USA,2:48:48,507,471,
"Colligan, Nora",34,F,Austin,TX,USA,2:48:48,508,37,
"Wang, Xiao",31,M,Seattle,WA,USA,2:48:49,509,472,2015:2016
"Gordyan, Ryan",28,M,Chicago,IL,USA,2:48:50,510,473,2015:2016
"Avalos, Ray A Jr.",33,M,San Jose,CA,USA,2:48:53,511,474,
"Geeraert, Jeroen L.",27,M,Boulder,CO,USA,2:48:53,512,475,
"Sajulga, Felipe Iii L.",35,M,Malaybalay City,,PHI,2:48:56,513,476,
"Synan, Nicholas",26,M,New York,NY,USA,2:48:57,514,477,2016
"Garner, Stephen H IV",27,M,Yarmouthport,MA,USA,2:48:58,515,478,
"Lautzenheiser, Daniel",31,M,Washington,DC,USA,2:48:59,516,479,2015:2016
"Pearson, Blake",38,M,Homewood,AL,USA,2:48:59,517,480,
"Golaszewski, Michal",40,M,Legionowo,,POL,2:49:00,518,481,
"Comite, Daniel O.",28,M,Charleston,SC,USA,2:49:02,519,482,
"Schrandt, Erik J",20,M,Madison,WI,USA,2:49:02,520,483,
"Chesson, Harrell W",48,M,Atlanta,GA,USA,2:49:02,521,484,
"McColl, Noah",29,M,New York,NY,USA,2:49:04,522,485,
"Austin, Jake",25,M,Elliottsburg,PA,USA,2:49:05,523,486,
"Mininger, Norman H",32,M,Lansing,KS,USA,2:49:07,524,487,2016
"Matuszak, Paul M.",30,M,Philadelphia,PA,USA,2:49:08,525,488,
"Coffee, Kyle",26,M,Brighton,MA,USA,2:49:09,526,489,2015:2016
"Swenson, Will",45,M,Andover,MA,USA,2:49:10,527,490,2015:2016
"Mckeel, Scott R",27,M,Grand Haven,MI,USA,2:49:10,528,491,
"Hall, Alden W",47,M,Lebanon,NH,USA,2:49:14,529,492,2015:2016
"Berger, John P",37,M,Minneapolis,MN,USA,2:49:15,530,493,2015:2016
"Begay, Alvin",27,M,Ganado,AZ,USA,2:49:17,531,494,
"Rabasco, Mark T.",22,M,Pittsfield,MA,USA,2:49:17,532,495,
"Freeman, David J.",50,M,Epsom Downs,,GBR,2:49:17,533,496,
"Fukuchi, Yoshinori",46,M,Tokyo,,JPN,2:49:17,534,497,2015:2016
"Lima, Alexsandro S. Sr.",35,M,Salvador,,BRA,2:49:21,535,498,
"Baasch, Douglas",30,M,Jacksonville,FL,USA,2:49:21,536,499,
"Looi, Alexander",28,M,Burlington,VT,USA,2:49:21,537,500,2015
"Sosinski, Jimmy S",34,M,Haymarket,VA,USA,2:49:24,538,501,
"Shingleton, Jeremy",38,M,New York,NY,USA,2:49:24,539,502,
"Fedden, Lee D",35,M,London,,GBR,2:49:24,540,503,
"Richter, Peter W Sr.",44,M,Winston Salem,NC,USA,2:49:24,541,504,
"Albarracin, Diego R Sr.",26,M,Elmhurst,NY,USA,2:49:26,542,505,
"Beckett, Ryan",31,M,Anchorage,AK,USA,2:49:27,543,506,2015
"Bender, Matthew T.",32,M,Baltimore,MD,USA,2:49:27,544,507,
"Alvarez, Recio",37,M,Santiago,,DOM,2:49:28,545,508,
"Leblanc, Daniel",40,M,Dieppe,NB,CAN,2:49:28,546,509,2016
"Ripple, Nolan",23,M,Peoria,AZ,USA,2:49:29,547,510,
"Wilson, Mickey",32,M,Heber,UT,USA,2:49:30,548,511,
"Gallagher, Sean",34,M,Saint Petersburg,FL,USA,2:49:31,549,512,2016
"Gove, Alberto M.",30,M,West Pymble,,AUS,2:49:31,550,513,
"Schmitz, Jake",21,M,West Point,NY,USA,2:49:33,551,514,2015:2016
"Lawyer, Nicholas K",24,M,Columbus,OH,USA,2:49:33,552,515,
"Jackson, Veronica M",30,F,New York,NY,USA,2:49:34,553,38,
"Kosters, Eric S",35,M,Centennial,CO,USA,2:49:35,554,516,2015
"Arend, Robert J.",23,M,Chapel Hill,NC,USA,2:49:36,555,517,2015
"Hansen, Ryan P",29,M,Boston,MA,USA,2:49:36,556,518,
"Daye, Ryan",27,M,Minneapolis,MN,USA,2:49:37,557,519,2015:2016
"Stephens, Jake",24,M,Athens,OH,USA,2:49:38,558,520,
"Mcdonough, Bobby",24,M,Allston,MA,USA,2:49:38,559,521,
"Richardson, Chris",26,M,Aberdeen,,GBR,2:49:38,560,522,
"Keshian, Gregory",30,M,Boston,MA,USA,2:49:39,561,523,2015:2016
"Kearney, Sean",35,M,Ann Arbor,MI,USA,2:49:39,562,524,
"Quinteros, Martin",38,M,Santiago,,CHI,2:49:40,563,525,2015:2016
"Keno, Brian",55,M,Fort Lauderdale,FL,USA,2:49:40,564,526,2015
"Stapenhorst, Guilherme",30,M,Teutônia,,BRA,2:49:40,565,527,
"Martin, Neil E",39,M,Waban,MA,USA,2:49:42,566,528,
"Wilson, Douglas A",35,M,Broomfield,CO,USA,2:49:42,567,529,2016
"Tucker, Aaron",24,M,Claremont,CA,USA,2:49:42,568,530,2016
"Burnett, Clay T.",29,M,San Antonio,TX,USA,2:49:42,569,531,
"Karakoyunlu, Deniz",35,M,Somerville,MA,USA,2:49:43,570,532,2015:2016
"Hoedl, Hanspeter",50,M,Vienna,,AUT,2:49:44,571,533,
"Gates, William E. Jr.",27,M,Maryville,TN,USA,2:49:44,572,534,
"Pita, Javier",37,M,Spokane,WA,USA,2:49:45,573,535,
"Palma, Louis J.",35,M,Hampton,NJ,USA,2:49:47,574,536,
"Onigkeit, James",49,M,Rochester,MN,USA,2:49:48,575,537,2016
"Thorson, Cleve M",36,M,Guelph,ON,CAN,2:49:50,576,538,2016
"Allen, Christopher",28,M,Ventura,CA,USA,2:49:50,577,539,
"Jarvis, Collin",25,M,Vista,CA,USA,2:49:51,578,540,
"Lemelman, Daniel",26,M,Monroe Twp.,NJ,USA,2:49:52,579,541,
"Cobler, Bill",53,M,Salt Lake City,UT,USA,2:49:54,580,542,
"Hallman, Stephen J.",29,M,Langhorne,PA,USA,2:49:56,581,543,
"Orellana, Steve",29,M,Philadelphia,PA,USA,2:49:57,582,544,
"Jensen, Rune B.",43,M,Greve,,DEN,2:49:57,583,545,
"Fagan, Brian",39,M,Pflugerville,TX,USA,2:50:00,584,546,2015:2016
"Stadolnik, Michael",43,M,Plainfield,CT,USA,2:50:00,585,547,2015:2016
"Lagoutte, Julien",33,M,Gif-Sur-Yvette,,FRA,2:50:00,586,548,
"Crossland, Tom",30,M,London,,GBR,2:50:01,587,549,
"Moraine, Olivier",32,M,Montreal,QC,CAN,2:50:02,588,550,
"Alonso, Julian R.",32,M,Bahia Blanca,,ARG,2:50:04,589,551,
"Vajente, Gabriele",36,M,Pasadena,CA,USA,2:50:04,590,552,
"Mckinley, Ian D",34,M,Kamloops,BC,CAN,2:50:05,591,553,
"Bowling, Kyle H.",33,M,Louisville,KY,USA,2:50:06,592,554,
"Leon, Alex",41,M,Chicago,IL,USA,2:50:06,593,555,2015
"Metivier, Ryan A",41,M,Auburn,ME,USA,2:50:06,594,556,
"Sheaff, Spencer T",26,M,San Francisco,CA,USA,2:50:06,595,557,
"Ramirez, Ernesto A",29,M,Naperville,IL,USA,2:50:07,596,558,
"Haskett, Brian",45,M,Tomball,TX,USA,2:50:08,597,559,2016
"Wiberley, Kelsey L.",27,F,Fenton,MI,USA,2:50:11,598,39,
"Mccann, Greg",36,M,Fredericton,NB,CAN,2:50:12,599,560,2015:2016
"Miller, Christopher A",41,M,Radford,VA,USA,2:50:12,600,561,
"Peterson, Alex A.",33,M,Falls Church,VA,USA,2:50:15,601,562,
"Kortman, John",23,M,Indianapolis,IN,USA,2:50:19,602,563,
"Benedik, Jean-Philippe",33,M,Sierck Les Bains,,FRA,2:50:20,603,564,
"Rolfes, Greg",29,M,Philadelphia,PA,USA,2:50:21,604,565,2015
"Vest, Jamie",30,F,Lebanon,MO,USA,2:50:23,605,40,
"Fisher, James A",26,M,Arbutus,MD,USA,2:50:23,606,566,2015:2016
"Morris, Jonathan",37,M,Oklahoma City,OK,USA,2:50:24,607,567,2016
"Berrones, Steve",49,M,Midland,TX,USA,2:50:26,608,568,
"Roulier, Sebastien",43,M,Sherbrooke,QC,CAN,2:50:29,609,569,2015:2016
"Heerensperger, Mark E",38,M,Austin,TX,USA,2:50:30,610,570,2016
"Robertson, Stuart",47,M,Perth,,GBR,2:50:32,611,571,
"Shields, Brian",22,M,Chapel Hill,NC,USA,2:50:33,612,572,
"Ray, Joseph",24,M,Bayport,NY,USA,2:50:34,613,573,
"Johnston, Christoffer",31,M,Summit,NJ,USA,2:50:36,614,574,2015:2016
"Bonvillain, Frederic X",44,M,Lafayette,LA,USA,2:50:37,615,575,2015:2016
"Desharnais, Daniel",50,M,Fossambault-Sur-Le-Lac,QC,CAN,2:50:39,616,576,
"Dill, Jeff",27,M,Vancouver,BC,CAN,2:50:41,617,577,
"Cale, Eric D.",36,M,Chicago,IL,USA,2:50:41,618,578,
"Schramm, Cedric",40,M,Sarreguemines,,FRA,2:50:43,619,579,
"Kellner, John R",35,M,Menominee,MI,USA,2:50:43,620,580,
"Stevens, Ashley",36,M,Amarillo,TX,USA,2:50:44,621,581,
"Eastes, Bryan P",25,M,San Francisco,CA,USA,2:50:44,622,582,
"Adams, Craig",35,M,Bentonville,AR,USA,2:50:45,623,583,2015
"Perez, Christian",23,M,Yuma,AZ,USA,2:50:45,624,584,2015:2016
"Pearson, Benjamin L",24,M,Salt Lake City,UT,USA,2:50:46,625,585,
"Stephenson, Jay P.",36,M,Rome,GA,USA,2:50:47,626,586,
"Ocampo, Rodolfo R.",33,M,Mexico,,MEX,2:50:47,627,587,
"Hola, Tim",42,M,Highlands Ranch,CO,USA,2:50:48,628,588,
"Starbuck, Ryan",32,M,Denver,CO,USA,2:50:48,629,589,2015:2016
"Wong, Kenneth",38,M,Toronto,ON,CAN,2:50:49,630,590,
"Rininger, Bradley T",39,M,Scottsdale,AZ,USA,2:50:50,631,591,2016
"Stewart, Ben",26,M,Minneapolis,MN,USA,2:50:50,632,592,
"Lindsey, Thomas",28,M,Manhattan,KS,USA,2:50:53,633,593,2016
"Chapman, Stephen P",34,M,Ottawa,ON,CAN,2:50:56,634,594,2015
"Zentz, Jesse",41,M,Helena,MT,USA,2:50:56,635,595,
"Kolet, Thijs",36,M,Providence,RI,USA,2:50:56,636,596,2016
"Krusell, Brian",27,M,Braintree,MA,USA,2:50:57,637,597,2016
"Bugbee, Patrick",33,M,Cambridge,MA,USA,2:50:58,638,598,2016
"Roels, Guillaume",38,M,Los Angeles,CA,USA,2:50:59,639,599,2015
"Aramaki, Yuzo",37,M,Cos Cob,CT,USA,2:51:00,640,600,2015
"Fortin, Regis",41,M,Amos,QC,CAN,2:51:01,641,601,
"Cao, Yuming",40,M,Singapore,,SIN,2:51:02,642,602,
"Shirley, Brent",31,M,Encinitas,CA,USA,2:51:03,643,603,
"Curley, Declan",45,M,Chanhassen,MN,USA,2:51:05,644,604,
"Stenger, Eddie",26,M,Woodbury,MN,USA,2:51:05,645,605,
"Weeks, Paul",28,M,Seattle,WA,USA,2:51:05,646,606,
"Hutson, Greg",31,M,St Louis,MO,USA,2:51:10,647,607,2016
"Ruiz Rodriguez, Carlos",39,M,Málaga,,ESP,2:51:10,648,608,
"Duyn, Jeff H.",57,M,Garrett Park,MD,USA,2:51:11,649,609,
"Wogan, Ronan",39,M,"Termonfeckin, Co Louth",,IRL,2:51:14,650,610,
"O'Sullivan, James",32,M,Arvada,CO,USA,2:51:15,651,611,2016
"Cantini, Adam",25,M,Houston,TX,USA,2:51:16,652,612,2015:2016
"Dever, Shaun R",30,M,Brighton,MA,USA,2:51:17,653,613,2015:2016
"Keathley, Franklin",35,M,Charlotte,NC,USA,2:51:17,654,614,
"Richnavsky, Scott",32,M,Maple Grove,MN,USA,2:51:18,655,615,
"Anfimov, Maksim",36,M,Moscow,,RUS,2:51:18,656,616,
"Buck, Nathan",26,M,Portland,ME,USA,2:51:19,657,617,
"Perez, James P.",25,M,Charlotte,NC,USA,2:51:19,658,618,
"Orifice, Michael",31,M,Fairfield,CT,USA,2:51:20,659,619,
"Sandreuter, Stefan B.",22,M,North Yarmouth,ME,USA,2:51:23,660,620,
"Avalos, Anthony B.",29,M,San Jose,CA,USA,2:51:25,661,621,
"O'Donoghue, Graham",38,M,Washington,DC,USA,2:51:26,662,622,
"Skurski, Joseph",25,M,Shorewood,WI,USA,2:51:26,663,623,2016
"Premkumar, Ashish",31,M,Austin,TX,USA,2:51:28,664,624,2016
"Keena, Joshua M.",42,M,West Point,NY,USA,2:51:30,665,625,
"Hotchandani, Timothy",34,M,New York,NY,USA,2:51:31,666,626,
"Blunden, Matthew",37,M,Destin,FL,USA,2:51:33,667,627,
"Gervaix, Francois",46,M,Lausanne,,SUI,2:51:34,668,628,
"Wang, Baoyan",41,M,Wenzhou Zhejiang Province,,CHN,2:51:35,669,629,2016
"Johnson, Harley T",43,M,Urbana,IL,USA,2:51:35,670,630,
"Schmidt, Walter T.",31,M,Marlborough,CT,USA,2:51:38,671,631,
"Lhuissier, Francois",38,M,Paris,,FRA,2:51:39,672,632,
"Bak, Frederik",29,M,Hillerod,,DEN,2:51:40,673,633,
"Cundy, Lance",26,M,Iowa City,IA,USA,2:51:40,674,634,
"Herzet, Dominique",50,M,Campo,,FRA,2:51:41,675,635,
"Kariolis, Vasilis S",28,M,Boston,MA,USA,2:51:43,676,636,2015
"Collick, Neal",37,M,Negaunee,MI,USA,2:51:44,677,637,2016
"Bybee, Dustin",34,M,Lehi,UT,USA,2:51:44,678,638,
"Melendez, Carlos Manuel M. Sr.",38,M,"Quesada, San Carlos",,CRC,2:51:45,679,639,
"Coogan, Rachel",26,F,Cambridge,MA,USA,2:51:46,680,41,2015:2016
"Stange, Michael",47,M,San Diego,CA,USA,2:51:46,681,640,2015:2016
"Royer, Dominic",28,M,Montreal,QC,CAN,2:51:46,682,641,
"Gabris, Stephen",38,M,Burke,VA,USA,2:51:48,683,642,2015:2016
"Arai, Tatsuya",36,M,Dallas,TX,USA,2:51:48,684,643,2016
"Hardy, Sebastien",41,M,Paris,,FRA,2:51:49,685,644,
"Tsai, Chih-Yuan",34,M,New Taipei,,TWN,2:51:50,686,645,
"Waxman, Marc",44,M,Wrentham,MA,USA,2:51:50,687,646,2015
"Hardy, Brent J",33,M,Gillette,WY,USA,2:51:52,688,647,
"Clements, Aaron",28,M,New York,NY,USA,2:51:53,689,648,
"Burris, Jared",24,M,Manchester,NH,USA,2:51:54,690,649,
"Gundling, Colin",30,M,Sewickley,PA,USA,2:51:55,691,650,
"Smith, Adam D",30,M,Pittsburgh,PA,USA,2:51:57,692,651,
"Dehring, Michael J.",46,M,Cincinnati,OH,USA,2:51:57,693,652,
"Jones, Logan M.",27,M,Denver,CO,USA,2:51:58,694,653,
"England, Stephen",37,M,New York,NY,USA,2:52:00,695,654,2016
"Moyer, Dave",27,M,Jamaica Plain,MA,USA,2:52:00,696,655,2015:2016
"Grassmeyer, Justin",27,M,Omaha,NE,USA,2:52:01,697,656,
"Curley, Craig",28,M,Tucson,AZ,USA,2:52:02,698,657,
"Scanlan, Jeremy C",34,M,Boulder,CO,USA,2:52:02,699,658,
"Santos, Juan A",32,M,Guatemala,,GUA,2:52:02,700,659,
"Baranowski, Miroslaw",37,M,Brodheadsville,PA,USA,2:52:04,701,660,2016
"Malek, Paul V",25,M,Daniel Island,SC,USA,2:52:04,702,661,
"Pace, Joseph",25,M,Provo,UT,USA,2:52:05,703,662,
"Leonard, Dan",30,M,Chicago,IL,USA,2:52:07,704,663,
"Atwater, Beau",59,M,Bernardsville,NJ,USA,2:52:09,705,664,2015:2016
"Smith, David W. Jr.",26,M,Houston,TX,USA,2:52:10,706,665,
"Anderson, Mallory E",25,F,New York,NY,USA,2:52:11,707,42,
"Gonzalez, Juan P.",39,M,Lima,,PER,2:52:13,708,666,
"Fallas, Alejandro",31,M,Portland,OR,USA,2:52:13,709,667,
"Puth, Daniel",35,M,Toronto,ON,CAN,2:52:14,710,668,
"Galvin, Mike V",43,M,St Petersburg,FL,USA,2:52:16,711,669,2015:2016
